287|0000000010000000000|27
175|0000000000000001000|20
51|0000000010000010011|19
101|0111000000010001000|19
295|0100000000000000100|19
192|0000000010000000000|18
182|0000001010000000000|18
290|0000010000000000000|18
57|0000000010000000000|17
128|0100000000000000100|17
289|0000000010001000000|17
211|0000010000000000010|17
512|0000010010000010000|16
99|0001100000001000000|15
70|0000010000000010000|15
136|0000000010000000000|15
270|0000000010000001100|15
358|0110000000000001100|15
428|0000010000000000000|15
80|0100010000000000010|14
169|0001010000000000000|14
484|0000000000100100000|13
320|0000000100000000000|13
173|0110010000000010000|13
195|0100000000000001100|13
319|0000010000001010000|13
65|0000010010000000000|13
198|0000000000000000100|13
23|0000000010000000100|13
436|0000000000010000000|13
238|0000010000000000000|13
2|0110000000000000100|13
239|0000001010000001000|12
144|0100000000000000100|12
188|0100000010000000010|12
223|0000000010000000100|12
177|0100000000000000001|12
29|0110011000000000000|12
259|0000110000000000000|12
176|0100000000000001110|12
174|0110000000000000000|12
122|0000010000000000000|12
497|0000010000000000000|12
196|0000000010000000000|12
301|0000010000000000000|12
480|0000010000000000100|12
210|0110000000000000000|12
184|0110010000010001000|12
277|0000000010000000000|11
424|0000000000010000000|11
216|0000010000000010000|11
135|0000000010000101100|11
205|0000000010000000010|11
524|0000010000000000000|11
14|0000000010000010000|11
154|0000010000000000000|11
118|0110000000000000100|11
303|0000000010000000000|11
515|0100000010000000010|11
83|0000010000000010000|11
652|0000010010000000000|11
10|0000000010000000010|11
15|0000000010000000000|10
71|0001100000001000000|10
569|0000000010010000000|10
98|0000000010000000100|10
194|0000011000000000000|10
329|0000001010000000100|10
24|0110001000000000000|10
181|0110000000000011010|10
481|0000010010000000000|10
152|0000010000000001000|10
133|0000000010000010010|10
662|0000000010000010000|10
138|0000110000000000000|10
276|0000000010000010000|10
284|0000010000000010000|10
13|0000010000000000000|10
269|0000010000000000000|10
12|0000001000000000100|10
463|0010000000000000000|10
8|0000110010000000000|10
328|0100000000000110100|10
145|0100000000000001100|10
406|0000000000010000100|10
212|0000000010000000000|10
749|0000010000000010000|10
209|0000010010001000000|10
324|0000000000000100000|10
476|0000010000000000000|10
